sentiment,comment
not nostalgia,An Amazing song!  Thank God for YouTube or all of these Amazing historical songs would be forgotten forever and the new generation would never know what real music was like in 30s 60s 70s these songs would have been buried forever BUT! not anymore for that Thank you Sironaca and Thank you YouTube and the happy ending is that Brenda lee still alive she's 74 Thank you Brenda THANK YOU VERY MUCH!!!
not nostalgia,"Once upon a time men and women. The real world, not the inverted one of nowadays"
not nostalgia,Will always love listening to this song .
not nostalgia,i treat everyday as my last because i enjoy it even better
nostalgia,In 1963 I was 12 years old I remember Brenda lee very well with such a pretty voice.
nostalgia,"What a Beautifully hauntingly Song, bring these Classical Songs Back."
nostalgia,"So beautiful hearing this every time, the melody and the tune sends you back in time."
not nostalgia,Everything fades when love departs.
not nostalgia,Feel so emotional about the lyrics & much more with her voice..
not nostalgia,"I listen to this and think oh that was the greatest, then I listen to another and think oh that was the greatest and then another and the same"
not nostalgia,The end of the world..her song has many meaning not only on love but life around which is not the same....
not nostalgia,"Everyone that sees you work forgets to say anything meaningful about the person who put it together. I have to say, what you have done is outstanding. The shots you have selected are great. I know the pay here can not repay you for the time you have in. I was hoping this to you might help. Are you single? No, no that's not what I wanted to say. lol.  I love your work!"
nostalgia,"I remember her first introduction on TV by Red Foley, not sure what year, but she was 10 or 11 years old, and that  booming voice for such a young gal."
not nostalgia,WHO COULD NOT LOVE THIS SONG AND GREAT SINGER  BRENDA LEE > COULD LISTEN ALL DAY TO IT. THANKS YOUTUBE.
nostalgia,I was only 4 oh wow how time flies
not nostalgia,"HOLY CRAP!  This just came on, and i felt her right next to me. Serious."
not nostalgia,this is the best video I have ever seen on You tube!
nostalgia,"This terrific tune goes back to my previous teen childhood. No matter the issues of my era, I would not exchange my era music wise for anything. In fact, with the garbage being played currently by kids their lives would be enriched by going backwards not forwards."
not nostalgia,"It would be interesting to see an index of all those actors, movies. I know most of them."
not nostalgia,Wow how relevant this song is to so many people love it
nostalgia,Sad song? I was a senior in high school back in 1963.
nostalgia,I was 13 in 1963 and a music explosion was happening!!!
not nostalgia,"Is it not, so wonderful, that , you, Sironaca, have, 10m  fans that love this song and Lady, and that there is little change in the way we communicate!! So many, people, here, so many,  voices, so, much Love. Without, the knowledge of language, but just love. Thank you!!"
not nostalgia,"This song has had such an effect on all who hear it, funny enough, including those who are in relationships"
nostalgia,"i grew up listening to SKEETER DAVIS version of this song , didn't know it had a soul until BRENDA exposed it ."
nostalgia,"Brenda Lee, my first childhood crush. LOL. She is two years older than me."
nostalgia,I was only 10 years old when this song was in the chart .My big sister played this song time and time again it was some years later I found out why.Still take's me back to my sisters sad time god bless her
not nostalgia,this song is the best song all over the world
not nostalgia,""" Only you have that magic technique, when we sway i go weak """
not nostalgia,How much he is so wonderful. May God bless your soul Dean Martin 
nostalgia,"Music of my youth ,brilliant and everlasting,  great artist.....Greetings from Ireland"
nostalgia,I remember the first time I heard this  Skeerter Davis .Hard to do again  
not nostalgia,I'm waiting for the train at the platform and listening to this in headphones. Trying to fight the urge to dance walk up and down the platform. Failing. xD
not nostalgia,the only man who could sing this pure gold
nostalgia,"when she left me, this played on the radio. i broke down. a song from the sixties played on the radio in 2006."
not nostalgia,I can hear the sound of violins everytime a Democrat starts spewing BS.
nostalgia,"I used to listen to this song when I was little, literally toddler not knowing what it meant."".not nostalgia,I guess that someone's world ends every day for lots of reasons. I suppose it's being human."
nostalgia,So beautiful and reminds me of my sister because we loved this when we were growing up I miss her so much the LORD took her to early from me to young to have passed away cancer took my sister away from me I miss her so much
nostalgia,"This is a beautiful video with a great song. So many memories, thank you so much!"
nostalgia,Miss listening to music like this on the radio. Thankful for YouTube to bring back wonderful memories like this
not nostalgia,I guess people interpret things and words different because to me this song talk about light and darkness how a flower rising in the sun
nostalgia,"Still listening to this after we drifted apart 50 years ago. I still love and miss you so much Gail, if only I could turn the clock back. "
not nostalgia,"She had a fantastic voice,  especially from such a young child. Always loved her songs."
not nostalgia,60s and 70s best music and best faces full of attraction and natural beauty
nostalgia,All those film stars I grow up  with  it's so sad knowing that they passed on and make me  that never hit them
not nostalgia,I am a good listener is good have these ever green sings on YouTube I appreciate it very much
not nostalgia,"A great song sung by a great artist but I don't get what the movie clip has to do with the song. I mean at .045 of the clip she's singing about birds, and then the movie clip showing two people in a snow storm. AND THEN she sings about stars AND THERE'S NO STARS!!"
not nostalgia,Sometime I wish I lived during this time and then I remember racism and how I would  have probably been hanged lol so never mind
not nostalgia,The little girl with the great big voice - and you can understand every single word!
not nostalgia,"Makes heartbreak sound beautiful,  it's pain suckers"
nostalgia,It is now 2019 I am still listening and asking why.  I have been listening to the 70's station on seirus  radio which is really bringing the memories of my childhood. What a better world we lived in.
nostalgia,Listening November 2019.  Remembering a childhood of the 60s and 70s.  These songs really take me back.
nostalgia,Don't know but this song has some kind of magical spell that mesmerizes my soul and takes me to another word of dreams and nostalgias
